PATTERN: 0xff00
PING 202.141.80.14 (202.141.80.14) 56(84) bytes of data.
64 bytes from 202.141.80.14: icmp_seq=1 ttl=63 time=0.269 ms
64 bytes from 202.141.80.14: icmp_seq=2 ttl=63 time=0.244 ms
64 bytes from 202.141.80.14: icmp_seq=3 ttl=63 time=0.242 ms
64 bytes from 202.141.80.14: icmp_seq=4 ttl=63 time=0.258 ms
64 bytes from 202.141.80.14: icmp_seq=5 ttl=63 time=0.256 ms
64 bytes from 202.141.80.14: icmp_seq=6 ttl=63 time=0.227 ms
64 bytes from 202.141.80.14: icmp_seq=7 ttl=63 time=0.237 ms
64 bytes from 202.141.80.14: icmp_seq=8 ttl=63 time=0.252 ms
64 bytes from 202.141.80.14: icmp_seq=9 ttl=63 time=0.237 ms
64 bytes from 202.141.80.14: icmp_seq=10 ttl=63 time=0.241 ms
64 bytes from 202.141.80.14: icmp_seq=11 ttl=63 time=0.242 ms
64 bytes from 202.141.80.14: icmp_seq=12 ttl=63 time=0.197 ms
64 bytes from 202.141.80.14: icmp_seq=13 ttl=63 time=0.236 ms
64 bytes from 202.141.80.14: icmp_seq=14 ttl=63 time=0.241 ms
64 bytes from 202.141.80.14: icmp_seq=15 ttl=63 time=0.199 ms
64 bytes from 202.141.80.14: icmp_seq=16 ttl=63 time=0.243 ms
64 bytes from 202.141.80.14: icmp_seq=17 ttl=63 time=0.243 ms
64 bytes from 202.141.80.14: icmp_seq=18 ttl=63 time=0.203 ms
64 bytes from 202.141.80.14: icmp_seq=19 ttl=63 time=0.224 ms
64 bytes from 202.141.80.14: icmp_seq=20 ttl=63 time=0.228 ms
64 bytes from 202.141.80.14: icmp_seq=21 ttl=63 time=0.222 ms
64 bytes from 202.141.80.14: icmp_seq=22 ttl=63 time=0.267 ms
64 bytes from 202.141.80.14: icmp_seq=23 ttl=63 time=0.281 ms
64 bytes from 202.141.80.14: icmp_seq=24 ttl=63 time=0.278 ms
64 bytes from 202.141.80.14: icmp_seq=25 ttl=63 time=0.281 ms
64 bytes from 202.141.80.14: icmp_seq=26 ttl=63 time=0.282 ms
64 bytes from 202.141.80.14: icmp_seq=27 ttl=63 time=0.280 ms
64 bytes from 202.141.80.14: icmp_seq=28 ttl=63 time=0.211 ms
64 bytes from 202.141.80.14: icmp_seq=29 ttl=63 time=0.266 ms
64 bytes from 202.141.80.14: icmp_seq=30 ttl=63 time=0.245 ms
64 bytes from 202.141.80.14: icmp_seq=31 ttl=63 time=0.269 ms
64 bytes from 202.141.80.14: icmp_seq=32 ttl=63 time=0.257 ms
64 bytes from 202.141.80.14: icmp_seq=33 ttl=63 time=0.273 ms
64 bytes from 202.141.80.14: icmp_seq=34 ttl=63 time=0.260 ms
64 bytes from 202.141.80.14: icmp_seq=35 ttl=63 time=0.270 ms
64 bytes from 202.141.80.14: icmp_seq=36 ttl=63 time=0.267 ms
64 bytes from 202.141.80.14: icmp_seq=37 ttl=63 time=0.285 ms
64 bytes from 202.141.80.14: icmp_seq=38 ttl=63 time=0.253 ms
64 bytes from 202.141.80.14: icmp_seq=39 ttl=63 time=0.264 ms
64 bytes from 202.141.80.14: icmp_seq=40 ttl=63 time=0.233 ms
64 bytes from 202.141.80.14: icmp_seq=41 ttl=63 time=0.249 ms
64 bytes from 202.141.80.14: icmp_seq=42 ttl=63 time=0.257 ms
